Station_Office_Code,Station_Code,Station_Name,Report_Header,ICAO_CODE,latitude,longitude,elevation_m,DealWithCarraigReturn
GJT,RIL,Rifle,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRIL,39.53,-107.73,1678,Filler
GJT,SLC,Salt Lake City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSLC,40.77,-111.97,1286,Filler
GJT,VEL,Vernal,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVEL,40.45,-109.52,1604,Filler
GLD,GLD,Goodland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGLD,39.37,-101.7,1113,Filler
GLD,HLC,Hill City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHLC,39.37,-99.83,669,Filler
GLD,ITR,Burlington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KITR,39.23,-102.28,1279,Filler
GLD,MCK,McCook,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMCK,40.2,-100.58,782,Filler
GRB,AUW,Wausau,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAUW,44.93,-89.62,362,Filler
GRB,LSE,La Crosse,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLSE,43.88,-91.25,199,Filler
GRB,MKE,Milwaukee,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMKE,42.95,-87.9,206,Filler
GRB,MSN,Madison,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMSN,43.13,-89.35,261,Filler
GRB,RHI,Rhinelander,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRHI,45.63,-89.48,485,Filler
GRR,AZO,Kalamazoo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAZO,42.23,-85.55,272,Filler
GRR,BIV,Holland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBIV,42.75,-86.1,208,Filler
GRR,BTL,Battle Creek,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBTL,42.32,-85.23,290,Filler
GRR,GRR,Grand Rapids,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGRR,42.88,-85.52,237,Filler
GRR,JXN,Jackson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJXN,42.27,-84.47,305,Filler
GRR,LAN,Lansing,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLAN,42.78,-84.58,264,Filler
GRR,MKG,Muskegon,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMKG,43.17,-86.23,191,Filler
GSP,AVL,Asheville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAVL,35.43,-82.53,670,Filler
GSP,CLT,Charlotte,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCLT,35.22,-80.95,220,Filler
GSP,GSP,Greenville-Spartanburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGSP,34.9,-82.22,287,Filler
GYX,AUG,Augusta,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAUG,44.32,-69.8,109,Filler
GYX,CON,Concord,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCON,43.2,-71.5,103,Filler
GYX,PWM,Portland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPWM,43.65,-70.3,15,Filler
HGX,CLL,College Station,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCLL,30.58,-96.37,96,Filler
HGX,GLS,Galveston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGLS,29.27,-94.87,6,Filler
HGX,HOU,Houston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHOU,29.63,-95.28,36,Filler
HNL,HNL,Honolulu International Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,PHNL,21.33,-157.92,4,Filler
HNX,BFL,Bakersfield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KBFL,35.43,-119.05,151,Filler
HNX,FAT,Fresno,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KFAT,36.78,-119.72,104,Filler
HNX,HJO,Hanford,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KHJO,36.32,-119.62,74,Filler
HNX,MCE,Merced,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KMCE,37.28,-120.5,47,Filler
HUN,HSV,Huntsville Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHSV,34.65,-86.78,191,Filler
HUN,MSL,Muscle Shoals Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMSL,34.75,-87.6,164,Filler
ICT,CNU,Chanute,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCNU,37.67,-95.48,297,Filler
ICT,SLN,Salina,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSLN,38.78,-97.65,385,Filler
ILM,LBT,Lumberton,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KLBT,34.6,-79.07,37,Filler
ILM,CRE,North Myrtle Beach,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCRE,33.82,-78.72,10,Filler
ILM,FLO,Florence,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFLO,34.18,-79.73,44,Filler
ILM,ILM,Wilmington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KILM,34.27,-77.9,9,Filler
ILN,CMH,Columbus,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCMH,40,-82.88,247,Filler
ILN,CVG,Cincinnati,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCVG,39.05,-84.67,269,Filler
ILN,DAY,Dayton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDAY,39.9,-84.22,305,Filler
ILX,CMI,Champaign Arpt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCMI,40.03,-88.27,228,Filler
ILX,DEC,Decatur Arpt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDEC,39.83,-88.85,207,Filler
ILX,LWV,Lawrenceville Arpt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLWV,38.77,-87.6,131,Filler
ILX,MTO,Mattoon Arpt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMTO,39.47,-88.27,214,Filler
ILX,PIA,Peoria,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPIA,40.67,-89.68,205,Filler
ILX,SPI,Springfield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSPI,39.85,-89.68,181,Filler
IND,BMG,Bloomington,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KBMG,39.15,-86.62,257,Filler
IND,EYE,Indianapolis Eagle Creek,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KEYE,39.83,-86.3,248,Filler
IND,GEZ,Shelbyville,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KGEZ,39.58,-85.8,245,Filler
IND,HUF,Terre Haute,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KHUF,39.45,-87.3,179,Filler
IND,LAF,Lafayette,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KLAF,40.42,-86.93,182,Filler
IND,MIE,Muncie,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KMIE,40.23,-85.4,285,Filler
IND,IND,Indianapolis Intl Ap,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KIND,39.72,-86.3,241,Filler
IWX,FWA,Fort Wayne,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFWA,40.98,-85.18,248,Filler
IWX,SBN,South Bend,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSBN,41.7,-86.32,237,Filler
JAN,GLH,Greenville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGLH,33.5,-90.98,45,Filler
JAN,GWO,Greenwood,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGWO,33.5,-90.08,44,Filler
JAN,HBG,Hattiesburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHBG,31.27,-89.25,44,Filler
JAN,JAN,Jackson Intl Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJAN,32.32,-90.08,91,Filler
JAN,MEI,Meridian Key Field,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMEI,32.33,-88.75,89,Filler
JAN,TVR,Tallulah/Vicksburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTVR,32.35,-91.03,26,Filler
JAX,AMG,Alma,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAMG,31.53,-82.5,59,Filler
JAX,GNV,Gainesville Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGNV,29.7,-82.28,45,Filler
JAX,JAX,Jacksonville Intl Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJAX,30.5,-81.68,10,Filler
JAX,SSI,Brunswick McKinnon Arpt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSSI,31.15,-81.38,6,Filler
JKL,JKL,Jackson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJKL,37.6,-83.32,416,Filler
JKL,LOZ,London,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLOZ,37.08,-84.07,362,Filler
KEY,MTH,Marathon Airport,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KMTH,24.73,-81.05,2,Filler
KEY,EYW,Key West Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEYW,24.55,-81.75,5,Filler
LBF,BBW,Broken Bow,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBBW,41.43,-99.63,776,Filler
LBF,IML,Imperial,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KIML,40.52,-101.62,998,Filler
LBF,LBF,North Platte,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLBF,41.12,-100.67,847,Filler
LBF,VTN,Valentine,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVTN,42.87,-100.55,788,Filler
LCH,AEX,Alexandria International Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAEX,31.33,-92.57,27,Filler
LCH,ARA,New Iberia/Acadiana Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KARA,30.03,-91.88,18,Filler
LCH,BPT,Southeast Texas Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBPT,29.95,-94.03,5,Filler
LCH,LCH,Lake Charles Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLCH,30.13,-93.22,4,Filler
LCH,LFT,Lafayette Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLFT,30.2,-92,11,Filler
LIX,BTR,Baton Rouge Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBTR,30.53,-91.15,21,Filler
LIX,NEW,New Orleans Intl Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KNEW,30.05,-90.03,3,Filler
LKN,EKO,Elko Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEKO,40.82,-115.78,1547,Filler
LKN,ELY,Ely Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KELY,39.3,-114.85,1906,Filler
LKN,P68,Eureka Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KP68,39.6,-116,1809,Filler
LKN,TPH,Tonopah Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTPH,38.05,-117.08,1652,Filler
LKN,WMC,Winnemucca Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KWMC,40.9,-117.8,1310,Filler
LMK,BWG,Bowling Green,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBWG,36.97,-86.42,168,Filler
LMK,FFT,Frankfort,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFFT,38.18,-84.9,236,Filler
LMK,LEX,Lexington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLEX,38.03,-84.6,300,Filler
LMK,LOU,Louisville Bowman Field,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLOU,38.22,-85.67,164,Filler
LMK,SDF,Louisville International Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSDF,38.18,-85.73,146,Filler
LOT,LOT,WFO Chicago Romeoville,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,KLOT,41.6,-88.1,205,Filler
LOT,ARR,Aurora,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KARR,41.77,-88.48,215,Filler
LOT,DPA,DuPage Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDPA,41.92,-88.25,231,Filler
LOT,MDW,Chicago Midway,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMDW,41.78,-87.75,188,Filler
LOT,PWK,Chicago Executive Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPWK,42.12,-87.9,203,Filler
LOT,RFD,Rockford,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRFD,42.2,-89.1,221,Filler
LOT,UGN,Waukegan Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KUGN,42.42,-87.87,222,Filler
LOT,VPZ,Valparaiso,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVPZ,41.45,-87,231,Filler
LOX,WJF,Lancaster,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KWJF,34.72,-118.22,715,Filler
LOX,BUR,Bob Hope Airport (BUR),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBUR,34.2,-118.37,217,Filler
LOX,CMA,Camarillo/Oxnard,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCMA,34.22,-119.1,23,Filler
LOX,CQT,Downtown Los Angeles,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCQT,34.02,-118.28,56,Filler
LOX,LAX,Los Angeles Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLAX,33.93,-118.38,46,Filler
LOX,LGB,Long Beach Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLGB,33.82,-118.15,10,Filler
LOX,PMD,Palmdale,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPMD,34.63,-118.08,780,Filler
LOX,PRB,Paso Robles,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPRB,35.67,-120.63,245,Filler
LOX,SBA,Santa Barbara,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSBA,34.43,-119.85,3,Filler
LOX,SDB,Sandberg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSDB,34.75,-118.72,1377,Filler
LOX,SMX,Santa Maria,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSMX,34.9,-120.45,74,Filler
LSX,COU,Columbia,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCOU,38.82,-92.22,271,Filler
LSX,STL,St. Louis,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSTL,38.75,-90.37,171,Filler
LSX,UIN,Quincy,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KUIN,39.95,-91.2,234,Filler
LUB,CDS,Childress Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCDS,34.43,-100.28,594,Filler
LUB,LBB,Lubbock International Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLBB,33.67,-101.82,993,Filler
LWX,BWI,BWI,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBWI,39.17,-76.68,59,Filler
LWX,CHO,Charlottesville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCHO,38.13,-78.45,192,Filler
LWX,DCA,National,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDCA,38.85,-77.03,18,Filler
LWX,DMH,MD Science Center,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDMH,39.28,-76.62,5,Filler
LWX,HGR,Hagerstown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHGR,39.7,-77.73,224,Filler
LWX,IAD,Dulles,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KIAD,38.93,-77.45,93,Filler
LWX,MRB,Martinsburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMRB,39.4,-77.98,164,Filler
LZK,HRO,Harrison,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHRO,36.27,-93.15,417,Filler
LZK,LIT,Little Rock,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLIT,34.73,-92.23,79,Filler
LZK,PBF,Pine Bluff,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPBF,34.18,-91.93,62,Filler
MAF,MAF,Midland International Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMAF,31.95,-102.2,874,Filler
MEG,JBR,Jonesboro,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJBR,35.83,-90.65,79,Filler
MEG,MEM,Memphis Intl Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMEM,35.07,-89.98,86,Filler
MEG,MKL,Jackson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMKL,35.6,-88.92,128,Filler
MEG,TUP,Tupelo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTUP,34.27,-88.77,105,Filler
MFL,APF,Naples,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAPF,26.15,-81.77,3,Filler
MFL,FLL,Ft Lauderdale - Hollywood,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFLL,26.07,-80.15,3,Filler
MFL,MIA,Miami,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMIA,25.8,-80.28,3,Filler
MFL,PBI,West Palm Beach,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPBI,26.68,-80.1,6,Filler
MFR,AAT,Alturas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAAT,41.48,-120.57,1331,Filler
MFR,LMT,Klamath Falls,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLMT,42.15,-121.72,1246,Filler
MFR,MFR,Medford,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMFR,42.38,-122.87,396,Filler
MFR,MHS,Mount Shasta,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMHS,41.32,-122.32,1078,Filler
MFR,OTH,North Bend,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KOTH,43.42,-124.25,4,Filler
MFR,RBG,Roseburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRBG,43.23,-123.35,154,Filler
MFR,SIY,Montague,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSIY,41.77,-122.47,807,Filler
MHX,EWN,New Bern,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEWN,35.07,-77.05,3,Filler
MHX,HSE,Cape Hatteras,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHSE,35.23,-75.62,3,Filler
MKX,ORD,Chicago,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KORD,41.98,-87.93,200,Filler
MLB,DAB,Daytona Beach,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDAB,29.18,-81.07,9,Filler
MLB,MCO,Orlando,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMCO,28.42,-81.33,29,Filler
MLB,MLB,Melbourne,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMLB,28.1,-80.65,11,Filler
MLB,VRB,Vero Beach,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVRB,27.65,-80.42,10,Filler
MOB,MOB,Mobile Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMOB,30.68,-88.25,63,Filler
MOB,PNS,Pensacola Regional Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPNS,30.48,-87.18,38,Filler
MPX,FAR,Fargo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFAR,46.93,-96.82,277,Filler
MPX,FSD,Sioux Falls,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFSD,43.58,-96.75,436,Filler
MPX,RST,Rochester,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRST,43.9,-92.5,403,Filler
MRX,CHA,Chattanooga Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCHA,35.03,-85.2,210,Filler
MRX,TRI,Tri-Cities Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTRI,36.48,-82.4,474,Filler
MRX,TYS,Knoxville Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTYS,35.82,-83.98,302,Filler
MSO,BTM,Butte,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL,KBTM,45.97,-112.5,1688,Filler
MSO,GPI,Kalispell,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL,KGPI,48.32,-114.25,908,Filler
MSO,MSO,Missoula,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL,KMSO,46.92,-114.1,975,Filler
MTR,APC,Napa Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAPC,38.2,-122.28,13,Filler
MTR,CCR,Concord Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCCR,38,-122.05,11,Filler
MTR,HWD,Hayward Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHWD,37.67,-122.12,21,Filler
MTR,LVK,Livermore Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLVK,37.7,-121.82,117,Filler
MTR,MRY,Monterey Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMRY,36.58,-121.85,66,Filler
MTR,NUQ,Moffett Field,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KNUQ,37.4,-122.05,12,Filler
MTR,OAK,Oakland Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KOAK,37.72,-122.23,26,Filler
MTR,SFO,San Francisco Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSFO,37.62,-122.37,3,Filler
MTR,SJC,San Jose,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSJC,37.37,-121.92,24,Filler
MTR,SNS,Salinas Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSNS,36.67,-121.6,30,Filler
MTR,STS,Santa Rosa Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSTS,38.5,-122.82,39,Filler
MTR,WVI,Watsonville Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KWVI,36.93,-121.78,43,Filler
OAX,LNK,Lincoln,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLNK,40.85,-96.77,364,Filler
OAX,OFK,Norfolk,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KOFK,41.98,-97.43,470,Filler
OAX,OMA,Omaha,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KOMA,41.32,-95.9,312,Filler
