station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KLNP,2015-03-13T08:35:00Z,7.0,2.0,160,10,17,10.0,30.369095,,,,OVC,6000,,,,,,,SPECI, AO2
KLHZ,2015-03-13T08:35:00Z,1.0,-2.0,0,0,,10.0,30.540354,,,,BKN,9000,,,,,,,SPECI, AO2
KL38,2015-03-13T08:35:00Z,19.5,19.5,150,6,,10.0,29.991142,,,,OVC,900,,,,,,,SPECI, AO2 P0001 T01950195
KL35,2015-03-13T08:35:00Z,8.0,-2.0,50,12,18,10.0,30.28937,,,,CLR,,,,,,,,SPECI, AO2
KJYO,2015-03-13T08:35:00Z,0.0,-2.0,0,0,,10.0,30.590551,,,,CLR,,,,,,,,SPECI, AO2
KIZA,2015-03-13T08:35:00Z,13.0,6.0,0,0,,10.0,30.100393,,,,CLR,,,,,,,,SPECI, AO2
KIWA,2015-03-13T08:35:00Z,15.0,3.0,340,3,,10.0,30.0,,,,CLR,,,,,,,,SPECI, AO2
KHZR,2015-03-13T08:35:00Z,18.3,18.0,170,3,,1.0,29.970472,,,-RA,OVC,400,,,,,,,SPECI, AO2 P0004 T01830180
KHWY,2015-03-13T08:35:00Z,-1.2,-1.4,0,0,,10.0,30.578741,,,,CLR,,,,,,,,SPECI, AO2 T10121014
KHRX,2015-03-13T08:35:00Z,4.7,0.7,0,0,,10.0,30.15059,,,,SCT,10000,,,,,,,SPECI, AO2 T00470007
KHFJ,2015-03-13T08:35:00Z,10.0,10.0,40,3,,5.0,30.079725,,,-RA,OVC,400,,,,,,,SPECI, AO2 P0001
KHDC,2015-03-13T08:35:00Z,19.0,18.0,140,8,,10.0,30.029528,,,-RA,SCT,5000,OVC,9500,,,,,SPECI, AO2 P0002
KGYH,2015-03-13T08:35:00Z,12.0,-4.0,80,9,,10.0,30.431103,,,,OVC,5000,,,,,,,SPECI, AO2
KGVE,2015-03-13T08:35:00Z,-1.0,-2.2,0,0,,10.0,30.561024,,,,CLR,,,,,,,,SPECI, AO1 T10101022
KGOP,2015-03-13T08:35:00Z,13.0,13.0,340,6,,3.0,30.029528,,,BR,OVC,100,,,,,,,SPECI, AO2
KGHG,2015-03-13T08:35:00Z,-3.0,-15.0,320,6,,10.0,30.620079,,,,CLR,,,,,,,,SPECI, AO2
KGGP,2015-03-13T08:35:00Z,2.0,-1.0,90,6,,10.0,30.280512,,,,CLR,,,,,,,,SPECI, AO2
KFWC,2015-03-13T08:35:00Z,8.9,6.0,360,6,,10.0,30.180119,,,RA,SCT,5000,OVC,6000,,,,,SPECI, AO1 P0003 T00890060
KFFA,2015-03-13T08:35:00Z,5.3,1.4,30,6,,10.0,30.510826,,,,CLR,,,,,,,,SPECI, AO2 T00530014
KF17,2015-03-13T08:35:00Z,12.7,12.6,340,3,,1.75,29.929134,,,BR,OVC,300,,,,,,,METAR, AO2 T01270126
KEZF,2015-03-13T08:35:00Z,0.5,-1.9,0,0,,10.0,30.590551,,,,CLR,,,,,,,,SPECI, AO2 T00051019
KTFP,2015-03-13T08:35:00Z,14.1,13.2,100,5,,10.0,29.991142,,,,CLR,,,,,,,,SPECI, AO2 T01410132
KTDF,2015-03-13T08:35:00Z,1.0,-1.0,0,0,,10.0,30.549213,,,,SCT,8500,,,,,,,SPECI, AO2
KTAZ,2015-03-13T08:35:00Z,6.0,3.0,110,5,,10.0,30.200787,,,-DZ,OVC,9000,,,,,,,SPECI, AO2 P0001
KT82,2015-03-13T08:35:00Z,7.1,6.0,0,0,,10.0,30.029528,,,,CLR,,,,,,,,SPECI, AO2 T00710060
KT65,2015-03-13T08:35:00Z,13.7,12.1,180,6,,5.0,29.991142,,,BR,CLR,,,,,,,,SPECI, AO2 T01370121
KT35,2015-03-13T08:35:00Z,13.2,12.5,330,5,,7.0,29.991142,,,,OVC,1200,,,,,,,SPECI, AO2 T01320125
KSYF,2015-03-13T08:35:00Z,9.0,-3.7,350,12,16,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2 T00901037
KSWW,2015-03-13T08:35:00Z,12.9,4.2,0,0,,10.0,30.088583,,,,CLR,,,,,,,,SPECI, AO2 T01290042
KSVH,2015-03-13T08:35:00Z,10.9,-0.7,60,3,,10.0,30.469488,,,,OVC,7500,,,,,,,SPECI, AO2 T01091007
KSUW,2015-03-13T08:35:00Z,0.2,-0.5,50,6,,10.0,30.041338,,,,SCT,12000,,,,,,,SPECI, AO2 T00021005
KSTE,2015-03-13T08:35:00Z,3.5,0.0,180,6,,10.0,30.180119,,,,CLR,,,,,,,,SPECI, AO2 T00350000
KSRR,2015-03-13T08:35:00Z,4.0,-3.0,270,7,,10.0,30.188976,,,,FEW,7500,,,,,,,SPECI, AO2
KSOA,2015-03-13T08:35:00Z,4.0,2.0,10,4,,10.0,30.100393,,,,CLR,,,,,,,,SPECI, AO2
KSNK,2015-03-13T08:35:00Z,8.5,3.6,20,3,,10.0,30.079725,,,,CLR,,,,,,,,SPECI, AO2 T00850036 TSNO
KSME,2015-03-13T08:35:00Z,12.0,5.0,0,0,,10.0,30.268702,,,,BKN,4900,OVC,7000,,,,,SPECI, AO2
KSLB,2015-03-13T08:35:00Z,7.0,2.0,210,10,,10.0,30.129921,,,,CLR,,,,,,,,SPECI, AO2
KSHL,2015-03-13T08:35:00Z,8.0,2.0,190,12,,10.0,30.079725,,,,CLR,,,,,,,,SPECI, AO2
KSHD,2015-03-13T08:35:00Z,0.6,-2.2,0,0,,10.0,30.528543,,,,CLR,,,,,,,,SPECI, AO2 T00061022
KSFQ,2015-03-13T08:35:00Z,-1.0,-3.0,0,0,,10.0,30.569881,,,,CLR,,,,,,,,SPECI, AO2 T10101030
KSEZ,2015-03-13T08:35:00Z,11.0,1.0,70,11,19,10.0,30.15059,,,,CLR,,,,,,,,SPECI, AO2
KSDA,2015-03-13T08:35:00Z,7.0,3.0,0,0,,10.0,30.15059,,,,CLR,,,,,,,,SPECI, AO2
KSCR,2015-03-13T08:35:00Z,6.8,-3.6,0,0,,10.0,30.519686,,,,SCT,9500,,,,,,,SPECI, AO2 T00681036
KSBO,2015-03-13T08:35:00Z,16.0,-5.0,80,8,,10.0,30.33071,,,,OVC,2200,,,,,,,SPECI, AO2
KRUQ,2015-03-13T08:35:00Z,10.6,-1.0,80,3,,10.0,30.490158,,,,SCT,7500,OVC,8500,,,,,SPECI, AO2 T01061010
KRRL,2015-03-13T08:35:00Z,5.7,2.9,200,6,,10.0,30.138779,,,,OVC,11000,,,,,,,SPECI, AO2 T00570029
KRPH,2015-03-13T08:35:00Z,8.2,7.9,0,0,,10.0,30.02067,,,,CLR,,,,,,,,SPECI, AO2 T00820079
KRNH,2015-03-13T08:35:00Z,8.8,4.9,190,8,,7.0,30.050198,,,,CLR,,,,,,,,SPECI, AO2 T00880049
