No errors
No warnings
217 ms
data source=metars
4712 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
SARI 151000Z 18008KT CAVOK 10/09 Q1020,SARI,2015-06-15T10:00:00Z,-25.72,-54.47,10.0,9.0,180,8,,6.21,30.11811,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,270.0
SANT 151000Z 32010KT CAVOK 10/07 Q1022,SANT,2015-06-15T10:00:00Z,-26.85,-65.08,10.0,7.0,320,10,,6.21,30.177166,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,450.0
SAME 151000Z 00000KT CAVOK M00/M10 Q1017,SAME,2015-06-15T10:00:00Z,-32.82,-68.77,0.0,-10.0,0,0,,6.21,30.029528,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,704.0
SAEZ 151000Z 29005KT CAVOK 03/M03 Q1016,SAEZ,2015-06-15T10:00:00Z,-34.82,-58.52,3.0,-3.0,290,5,,6.21,30.0,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,20.0
SACO 151000Z 32005KT CAVOK M01/M03 Q1021,SACO,2015-06-15T10:00:00Z,-31.32,-64.22,-1.0,-3.0,320,5,,6.21,30.147638,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,474.0
SAAR 151000Z 29004KT CAVOK 04/M02 Q1018,SAAR,2015-06-15T10:00:00Z,-32.92,-60.77,4.0,-2.0,290,4,,6.21,30.059055,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,25.0
VOCB 151000Z 19013KT 8000 SCT015 FEW020TCU 32/20 Q1007 NOSIG,VOCB,2015-06-15T10:00:00Z,11.02,77.03,32.0,20.0,190,13,,4.97,29.734253,,,,,,TRUE,,,,,SCT,1500,FEW,2000,,,,,MVFR,,,,,,,,,,,,METAR,399.0
KNEL 151000Z AUTO 9SM BKN007 OVC013 21/21 A2996 RMK AO2 SLP144 T02110206 PWINO $,KNEL,2015-06-15T10:00:00Z,40.02,-74.33,21.1,20.6,,,,9.0,29.958662,1014.4,,TRUE,TRUE,TRUE,,,,TRUE,,BKN,700,OVC,1300,,,,,IFR,,,,,,,,,,,,METAR,31.0
VHHH 151000Z 14010KT 100V160 9999 FEW025 31/24 Q1007 NOSIG,VHHH,2015-06-15T10:00:00Z,22.32,113.92,31.0,24.0,140,10,,6.21,29.734253,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
OPRN 151000Z 18014KT 9999 FEW040 33/18 Q1004.0/29.64,OPRN,2015-06-15T10:00:00Z,33.62,73.08,33.0,18.0,180,14,,6.21,,,,,,,,,,,,FEW,4000,,,,,,,VFR,,,,,,,,,,,,METAR,508.0
WIII 151000Z 36006KT 9000 FEW022 29/21 Q1007 NOSIG,WIII,2015-06-15T10:00:00Z,-6.13,106.67,29.0,21.0,360,6,,5.59,29.734253,,,,,,TRUE,,,,,FEW,2200,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
UKDR 151000Z 16002MPS 090V230 9999 SCT066 31/12 Q1011 3609//70 NOSIG,UKDR,2015-06-15T10:00:00Z,48.05,33.22,31.0,12.0,160,4,,6.21,29.852362,,,,,,TRUE,,,,,SCT,6600,,,,,,,VFR,,,,,,,,,,,,METAR,124.0
UKLL 151000Z 01004MPS 330V040 9999 SCT033CB BKN100 18/16 Q1013 31250365 TEMPO -TSRAGR,UKLL,2015-06-15T10:00:00Z,49.82,23.93,18.0,16.0,10,8,,6.21,29.911417,,,,,,,,,,,SCT,3300,BKN,10000,,,,,VFR,,,,,,,,,,,,METAR,325.0
UKDD 151000Z 18003MPS 140V210 9999 FEW033CB BKN050 30/13 Q1011 08090070 NOSIG,UKDD,2015-06-15T10:00:00Z,48.37,35.1,30.0,13.0,180,6,,6.21,29.852362,,,,,,TRUE,,,,,FEW,3300,BKN,5000,,,,,VFR,,,,,,,,,,,,METAR,149.0
UKDE 151000Z 16003MPS 130V200 9999 FEW050CB BKN100 29/12 Q1012 20CLRD70 NOSIG,UKDE,2015-06-15T10:00:00Z,47.87,35.32,29.0,12.0,160,6,,6.21,29.88189,,,,,,TRUE,,,,,FEW,5000,BKN,10000,,,,,VFR,,,,,,,,,,,,METAR,113.0
UKOO 151000Z 19005MPS 150V220 CAVOK 27/13 Q1012 16090065 NOSIG,UKOO,2015-06-15T10:00:00Z,46.42,30.68,27.0,13.0,190,10,,6.21,29.88189,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
UKHH 151000Z 26004MPS 230V290 9999 BKN040 31/10 Q1012 250///65 NOSIG,UKHH,2015-06-15T10:00:00Z,49.92,36.28,31.0,10.0,260,8,,6.21,29.88189,,,,,,TRUE,,,,,BKN,4000,,,,,,,VFR,,,,,,,,,,,,METAR,155.0
UKBB 151000Z 26005MPS 230V290 CAVOK 29/12 Q1010 88CLRD95 NOSIG,UKBB,2015-06-15T10:00:00Z,50.33,30.9,29.0,12.0,260,10,,6.21,29.822834,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,119.0
SBKP 151000Z 01006KT 9999 SCT030 BKN070 19/15 Q1015,SBKP,2015-06-15T10:00:00Z,-23.0,-47.12,19.0,15.0,10,6,,6.21,29.970472,,,,,,,,,,,SCT,3000,BKN,7000,,,,,VFR,,,,,,,,,,,,METAR,661.0
HKJK 151000Z 13004KT 060V200 9999 FEW025 23/15 Q1021 NOSIG,HKJK,2015-06-15T10:00:00Z,-1.32,36.92,23.0,15.0,130,4,,6.21,30.147638,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,1624.0
