station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KBWD,2015-05-22T19:35:00Z,21.0,18.0,150,10,,10.0,30.100393,,,,OVC,1300,,,,,,,METAR, AO2
K20U,2015-05-22T19:35:00Z,20.0,3.0,140,22,28,10.0,30.070866,,,,FEW,7000,,,,,,,METAR, AO2
KTFP,2015-05-22T19:35:00Z,30.0,24.9,140,13,18,10.0,30.029528,,,,BKN,1800,BKN,2600,BKN,3400,,,SPECI, AO2 T03000249
KTAZ,2015-05-22T19:35:00Z,23.0,4.0,290,4,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
KT82,2015-05-22T19:35:00Z,20.9,19.6,150,5,,4.0,30.109253,,,BR,OVC,600,,,,,,,SPECI, AO2 T02090196
KT35,2015-05-22T19:35:00Z,22.1,19.3,110,6,,10.0,30.109253,,,,OVC,1000,,,,,,,SPECI, AO2 T02210193
KSYF,2015-05-22T19:35:00Z,10.7,9.1,140,18,23,3.0,30.029528,,,BR,SCT,800,BKN,1100,OVC,1800,,,SPECI, AO2 T01070091
KSUW,2015-05-22T19:35:00Z,12.8,3.9,50,8,,10.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2 T01280039
KSME,2015-05-22T19:35:00Z,20.0,6.0,260,7,,10.0,30.28937,,,,CLR,,,,,,,,SPECI, AO2
KSFQ,2015-05-22T19:35:00Z,21.7,4.9,0,0,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2 T02170049
KSEE,2015-05-22T19:35:00Z,19.0,8.0,270,11,,10.0,30.059055,,,,BKN,4000,BKN,6000,BKN,7000,,,SPECI, AO2
KS25,2015-05-22T19:35:00Z,23.0,0.0,140,14,30,10.0,30.070866,,,,CLR,,,,,,,,SPECI, AO2
KRSN,2015-05-22T19:35:00Z,22.5,8.0,80,6,,10.0,30.230314,,,,CLR,,,,,,,,SPECI, AO2 T02250080
KRPH,2015-05-22T19:35:00Z,17.3,16.7,140,5,,5.0,30.109253,,,BR,OVC,600,,,,,,,SPECI, AO2 T01730167
KRNH,2015-05-22T19:35:00Z,21.0,-1.1,320,4,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T02101011
KRCM,2015-05-22T19:35:00Z,20.0,8.0,80,5,,10.0,30.250984,,,,CLR,,,,,,,,SPECI, AO2
KRCE,2015-05-22T19:35:00Z,13.0,13.0,130,11,,10.0,30.180119,,,,OVC,800,,,,,,,SPECI, AO2 LTG DSNT S
KPYX,2015-05-22T19:35:00Z,13.6,12.3,150,11,,10.0,30.100393,,,,OVC,400,,,,,,,SPECI, AO2 T01360123
KPVW,2015-05-22T19:35:00Z,16.2,13.6,170,6,,10.0,30.109253,,,,OVC,1600,,,,,,,SPECI, AO2 T01620136
KPVB,2015-05-22T19:35:00Z,22.1,2.5,270,3,,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO1 T02210025
KPTB,2015-05-22T19:35:00Z,23.3,4.4,300,7,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2 T02330044
KPSK,2015-05-22T19:35:00Z,19.5,5.8,260,8,,10.0,30.250984,,,,SCT,5500,,,,,,,SPECI, AO2 T01950058
KPRS,2015-05-22T19:35:00Z,33.5,11.3,,,,10.0,29.929134,,,,CLR,,,,,,,,SPECI, AO2 T03350113
KMYZ,2015-05-22T19:35:00Z,16.0,8.0,120,8,,10.0,30.230314,,,,OVC,9000,,,,,,,SPECI, AO2
KMPZ,2015-05-22T19:35:00Z,23.5,2.9,0,0,,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO2 T02350029
KMOR,2015-05-22T19:35:00Z,21.0,4.0,0,0,,10.0,30.259842,,,,CLR,,,,,,,,METAR,
KMDZ,2015-05-22T19:35:00Z,18.9,-1.2,190,3,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T01891012
KLWB,2015-05-22T19:35:00Z,19.8,2.1,270,9,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T01980021
KLOT,2015-05-22T19:35:00Z,21.5,2.9,10,3,,10.0,30.230314,,,,CLR,,,,,,,,SPECI, AO2 T02150029
KLNL,2015-05-22T19:35:00Z,18.3,-9.7,280,6,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T01831097
KJOT,2015-05-22T19:35:00Z,23.2,6.2,100,5,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T02320062
KIYA,2015-05-22T19:35:00Z,24.5,20.3,0,0,,,30.159449,,,,OVC,1700,,,,,,,SPECI, AO2 T02450203 PWINO
KHII,2015-05-22T19:35:00Z,25.0,3.0,170,15,19,10.0,29.84941,,,,CLR,,,,,,,,SPECI, AO2
KHFJ,2015-05-22T19:35:00Z,18.0,7.0,130,6,,10.0,30.239174,,,,SCT,11000,,,,,,,SPECI, AO2
KHBV,2015-05-22T19:35:00Z,30.8,21.1,130,11,17,10.0,30.029528,,,,,,,,,,,,SPECI, AO2 T03080211
KLKR,2015-05-22T19:35:00Z,23.0,4.0,20,5,,10.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2
KLDJ,2015-05-22T19:35:00Z,26.0,6.0,280,13,30,10.0,29.940945,,,,SCT,10000,,,,,,,SPECI, AO2 T02600060
KJZI,2015-05-22T19:35:00Z,23.0,16.0,80,10,,10.0,30.180119,,,,FEW,3100,SCT,4300,BKN,4900,,,SPECI, A02 P000
KCXP,2015-05-22T19:35:00Z,15.0,5.0,170,4,,10.0,29.970472,,,,BKN,4200,BKN,4900,OVC,9000,,,SPECI, AO2
KARW,2015-05-22T19:35:00Z,25.0,15.0,70,6,,7.0,30.171259,,,,OVC,4600,,,,,,,SPECI, AO2
KEDN,2015-05-22T19:35:00Z,25.0,11.0,30,6,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2
KEDE,2015-05-22T19:35:00Z,22.0,8.8,30,4,,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2 T02200088
KDZB,2015-05-22T19:35:00Z,21.0,20.4,120,3,,1.75,30.109253,,,DZ,OVC,400,,,,,,,SPECI, AO2 T02100204
KDVK,2015-05-22T19:35:00Z,22.0,5.0,0,0,,10.0,30.280512,,,,CLR,,,,,,,,SPECI, AO2
KDUA,2015-05-22T19:35:00Z,15.0,13.0,70,8,,10.0,30.180119,,,,OVC,2600,,,,,,,SPECI, AO2 P0005
KDRI,2015-05-22T19:35:00Z,24.3,18.3,130,4,,10.0,30.171259,,,,SCT,700,SCT,1500,BKN,2100,,,SPECI, AO2 T02430183
KDNS,2015-05-22T19:35:00Z,22.0,4.0,0,5,16,10.0,30.188976,,,,SCT,8000,,,,,,,SPECI, AO2
KDED,2015-05-22T19:35:00Z,32.0,22.0,50,12,,,30.100393,,,,,,,,,,,,SPECI, AO1
KCZT,2015-05-22T19:35:00Z,27.0,22.0,140,7,,10.0,30.008858,,,,BKN,2600,BKN,3100,OVC,4400,,,SPECI, AO2
KCMD,2015-05-22T19:35:00Z,21.6,10.2,340,5,,10.0,30.259842,,,,CLR,,,,,,,,SPECI, AO2 T02160102
KCLK,2015-05-22T19:35:00Z,16.0,12.0,140,10,,10.0,30.15059,,,,OVC,1000,,,,,,,SPECI, AO2 LTG DSNT SE
KCFJ,2015-05-22T19:35:00Z,22.3,0.8,310,8,,10.0,30.209646,,,,SCT,7000,,,,,,,SPECI, AO2 T02230008
KCCY,2015-05-22T19:35:00Z,23.0,-1.0,190,5,12,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO2
KBXA,2015-05-22T19:35:00Z,26.6,16.5,30,3,,10.0,30.171259,,,,,,,,,,,,SPECI, AO2 T02660165
KBEA,2015-05-22T19:35:00Z,27.9,25.8,120,7,,10.0,30.029528,,,,SCT,2200,BKN,4800,OVC,8000,,,SPECI, AO2 T02790258
KBCK,2015-05-22T19:35:00Z,22.4,-1.2,300,4,,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO2 T02241012
KBCB,2015-05-22T19:35:00Z,17.7,6.4,0,0,,10.0,30.250984,,,,SCT,5000,,,,,,,SPECI, AO2 T01770064
KBAC,2015-05-22T19:35:00Z,23.0,2.0,190,10,15,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2
KAZC,2015-05-22T19:35:00Z,18.0,0.1,220,14,,10.0,29.929134,,,,SCT,5000,SCT,6000,BKN,7000,,,SPECI, AO2 LTG DSNT ALQS T01800001
KAUN,2015-05-22T19:35:00Z,19.0,10.0,250,4,,10.0,29.991142,,,,SCT,3400,,,,,,,SPECI, AO1
KASW,2015-05-22T19:35:00Z,21.0,2.0,320,5,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
KANK,2015-05-22T19:35:00Z,13.8,0.2,170,5,,10.0,30.100393,,,,SCT,5500,BKN,6500,OVC,11000,,,SPECI, AO1 T01380002
KAJZ,2015-05-22T19:35:00Z,18.2,2.7,40,5,,5.0,29.929134,,,RA,SCT,5000,SCT,6000,OVC,7500,,,SPECI, AO2 LTG DSNT ALQS P0001 T01820027
KAIB,2015-05-22T19:35:00Z,17.0,-3.0,140,12,23,10.0,29.97933,,,,SCT,8000,BKN,9500,BKN,11000,,,SPECI, AO2 LTG DSNT W AND NW
KAAA,2015-05-22T19:35:00Z,26.1,4.4,330,4,,10.0,30.188976,,,,CLR,,,,,,,,SPECI, AO2 T02610044
K8W2,2015-05-22T19:35:00Z,22.6,3.9,260,11,18,10.0,30.109253,,,,CLR,,,,,,,,SPECI, AO1 T02260039
K6A2,2015-05-22T19:35:00Z,24.0,11.0,30,6,,10.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2
K5R8,2015-05-22T19:35:00Z,25.0,20.2,60,4,,10.0,30.138779,,,,BKN,2400,,,,,,,SPECI, AO2 T02500202
K5A6,2015-05-22T19:35:00Z,22.3,11.0,40,7,,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO2 T02230110
K4O4,2015-05-22T19:35:00Z,20.0,11.0,100,9,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
K42J,2015-05-22T19:35:00Z,30.0,14.0,0,0,,10.0,30.109253,,,,CLR,,,,,,,,SPECI, AO1 TSNO
