KFSO,2015-05-22T13:55:00Z,9.2,5.7,350,10,18,10.0,29.878937,,,,SCT,1200,BKN,1700,OVC,2200,,,METAR, AO2 T00920057
KCDW,2015-05-22T13:53:00Z,18.3,3.9,290,10,15,10.0,29.929134,,,,CLR,,,,,,,,METAR, AO2 SLP140 T01830039 TSNO
KSYI,2015-05-22T13:55:00Z,14.0,9.0,30,8,,10.0,30.31004,,,,CLR,,,,,,,,METAR,
KPBH,2015-05-22T13:55:00Z,11.5,3.6,0,0,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01150036
KSDY,2015-05-22T14:15:00Z,13.0,3.0,50,3,,10.0,30.121063,,,,CLR,,,,,,,,METAR, AO1
KLTS,2015-05-22T14:08:00Z,13.0,13.0,90,9,,10.0,30.138779,,,-DZ,SCT,600,OVC,1300,,,,,SPECI, AO2 RAE05DZB05 CIG 005V014
KSVN,2015-05-22T14:13:00Z,23.0,16.0,50,5,,10.0,30.109253,,,,BKN,2500,,,,,,,SPECI, AO2 BKN V SCT
KDFW,2015-05-22T13:53:00Z,15.0,14.4,100,10,,10.0,30.159449,,,,BKN,800,OVC,1300,,,,,METAR, AO2 DZE39 SLP208 P0000 T01500144
KTCS,2015-05-22T13:53:00Z,12.2,9.4,40,5,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2 SLP127 T01220094 TSNO
KPRX,2015-05-22T14:15:00Z,15.0,9.0,100,11,20,10.0,30.230314,,,,OVC,5000,,,,,,,METAR, AO1
KLND,2015-05-22T14:01:00Z,9.4,5.6,0,0,,10.0,29.97933,,,,OVC,3100,,,,,,,METAR, AO2 T00940056
KMKG,2015-05-22T13:55:00Z,13.9,-5.0,0,3,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 SLP231 T01391050
KPWM,2015-05-22T13:51:00Z,18.3,7.2,0,0,,10.0,29.778543,,,,FEW,5500,FEW,9500,,,,,METAR, AO2 SLP085 T01830072
KY50,2015-05-22T13:56:00Z,13.3,-2.2,170,4,,10.0,30.239174,,,,CLR,,,,,,,,METAR, AO2 TSNO T01331022 SLP237
KDHT,2015-05-22T14:10:00Z,10.6,8.9,180,10,,10.0,30.129921,,,,BKN,700,OVC,1200,,,,,SPECI, AO2 CIG 005V010 T01060089
KLOT,2015-05-22T13:55:00Z,15.5,6.7,90,4,,10.0,30.180119,,,,CLR,,,,,,,,SPECI, AO2 T01550067
